node1,node2,interaction,distance,Log2(interaction + 1),p_value,betweenness_centrality_sum_normalized,degree_centrality_sum_normalized,interaction_normalized,SSC score
B9H01_04005,B9H01_05860,61.7537,363957.0,5.9716286187202225,0.004998235654080999,0.06814134787672334,0.2985074626865672,0.0,0.4900053568310129
B9H01_04005,B9H01_05865,61.7537,364726.0,5.9716286187202225,0.004998235654080999,0.06413195537631082,0.291044776119403,0.0,0.4934469805512859
B9H01_03860,B9H01_03875,61.7574,1343.0,5.971713678474345,0.004997342314375176,0.01367498305813256,0.08955223880597016,3.466467937487949e-07,0.5690319720994866
B9H01_03870,B9H01_03875,61.7574,47.0,5.971713678474345,0.004997342314375176,0.014842308193679932,0.09701492537313433,3.466467937487949e-07,0.5664429685886733
B9H01_01585,B9H01_09240,61.7585,566593.0,5.971738965542278,0.004991982276140236,0.15399516631244087,0.47014925373134325,4.4970394864722596e-07,0.41275685386844424
B9H01_01585,B9H01_09245,61.7585,566397.0,5.971738965542278,0.004991982276140236,0.15399516631244087,0.47014925373134325,4.4970394864722596e-07,0.41275685386844424
B9H01_01585,B9H01_09250,61.7585,565630.0,5.971738965542278,0.004991982276140236,0.15399516631244087,0.47014925373134325,4.4970394864722596e-07,0.41275685386844424
B9H01_01590,B9H01_09240,61.7585,567559.0,5.971738965542278,0.004991982276140236,0.15399516631244087,0.47014925373134325,4.4970394864722596e-07,0.41275685386844424
B9H01_01590,B9H01_09245,61.7585,567363.0,5.971738965542278,0.004991982276140236,0.15399516631244087,0.47014925373134325,4.4970394864722596e-07,0.41275685386844424
B9H01_01590,B9H01_09250,61.7585,566596.0,5.971738965542278,0.004991982276140236,0.15399516631244087,0.47014925373134325,4.4970394864722596e-07,0.41275685386844424
B9H01_01595,B9H01_09240,61.7585,568354.0,5.971738965542278,0.004991982276140236,0.15399516631244087,0.47014925373134325,4.4970394864722596e-07,0.41275685386844424
B9H01_01595,B9H01_09245,61.7585,568158.0,5.971738965542278,0.004991982276140236,0.15399516631244087,0.47014925373134325,4.4970394864722596e-07,0.41275685386844424
B9H01_01595,B9H01_09250,61.7585,567391.0,5.971738965542278,0.004991982276140236,0.15399516631244087,0.47014925373134325,4.4970394864722596e-07,0.41275685386844424
B9H01_03070,B9H01_03105,61.765,2932.0,5.971888380078587,0.00499019559672859,0.024180354250651608,0.11940298507462686,1.0586780457748704e-06,0.5569254216736348
B9H01_03075,B9H01_03105,61.765,2753.0,5.971888380078587,0.00499019559672859,0.024180354250651608,0.11940298507462686,1.0586780457748704e-06,0.5569254216736348
B9H01_03080,B9H01_03105,61.765,2433.0,5.971888380078587,0.00499019559672859,0.024180354250651608,0.11940298507462686,1.0586780457748704e-06,0.5569254216736348
B9H01_03085,B9H01_03105,61.765,2174.0,5.971888380078587,0.00499019559672859,0.024180354250651608,0.11940298507462686,1.0586780457748704e-06,0.5569254216736348
B9H01_00250,B9H01_00405,61.7662,30824.0,5.971915962608653,0.0049866222379052975,0.030484420212784948,0.17910447761194032,1.1711040329371106e-06,0.5371237990941955
B9H01_00250,B9H01_00410,61.7662,31322.0,5.971915962608653,0.0049866222379052975,0.030484420212784948,0.17910447761194032,1.1711040329371106e-06,0.5371237990941955
B9H01_00250,B9H01_00415,61.7662,31588.0,5.971915962608653,0.0049866222379052975,0.030484420212784948,0.17910447761194032,1.1711040329371106e-06,0.5371237990941955
B9H01_00255,B9H01_00405,61.7662,29267.0,5.971915962608653,0.0049866222379052975,0.030484420212784948,0.17910447761194032,1.1711040329371106e-06,0.5371237990941955
B9H01_00255,B9H01_00410,61.7662,29765.0,5.971915962608653,0.0049866222379052975,0.030484420212784948,0.17910447761194032,1.1711040329371106e-06,0.5371237990941955
B9H01_00255,B9H01_00415,61.7662,30031.0,5.971915962608653,0.0049866222379052975,0.030484420212784948,0.17910447761194032,1.1711040329371106e-06,0.5371237990941955
B9H01_00945,B9H01_10100,61.7775,238134.0,5.972175672239739,0.004984835558493651,0.715728121160869,0.6940298507462687,2.2297820787128483e-06,0.17707350034069017
B9H01_05095,B9H01_05110,61.7888,1486.0,5.972435335127091,0.004980368859964534,0.013617503527448163,0.10447761194029852,3.288460124488586e-06,0.5645727807437259
B9H01_05095,B9H01_05115,61.7888,1905.0,5.972435335127091,0.004980368859964534,0.013617503527448163,0.10447761194029852,3.288460124488586e-06,0.5645727807437259
B9H01_05095,B9H01_05120,61.7888,2113.0,5.972435335127091,0.004980368859964534,0.013617503527448163,0.10447761194029852,3.288460124488586e-06,0.5645727807437259
B9H01_08655,B9H01_08685,61.8102,4538.0,5.972926958056792,0.004978582180552888,0.02116777148906323,0.14179104477611942,5.293390228876954e-06,0.5511144724765367
B9H01_08655,B9H01_08690,61.8102,4822.0,5.972926958056792,0.004978582180552888,0.019569378484634133,0.13432835820895522,5.293390228876954e-06,0.5538327963480147
B9H01_08660,B9H01_08685,61.8102,4065.0,5.972926958056792,0.004978582180552888,0.02116777148906323,0.14179104477611942,5.293390228876954e-06,0.5511144724765367
B9H01_08660,B9H01_08690,61.8102,4349.0,5.972926958056792,0.004978582180552888,0.019569378484634133,0.13432835820895522,5.293390228876954e-06,0.5538327963480147
B9H01_08665,B9H01_08685,61.8102,2829.0,5.972926958056792,0.004978582180552888,0.02116777148906323,0.14179104477611942,5.293390228876954e-06,0.5511144724765367
B9H01_08665,B9H01_08690,61.8102,3113.0,5.972926958056792,0.004978582180552888,0.019569378484634133,0.13432835820895522,5.293390228876954e-06,0.5538327963480147
B9H01_05925,B9H01_05960,61.8123,4316.0,5.972975192403126,0.004977688840847065,0.07145944458286314,0.18656716417910452,5.490135706410874e-06,0.5225942134256922
B9H01_05930,B9H01_05960,61.8123,2816.0,5.972975192403126,0.004977688840847065,0.07145944458286314,0.18656716417910452,5.490135706410874e-06,0.5225942134256922
B9H01_00045,B9H01_10460,61.8159,25383.0,5.973057876102305,0.004975902161435418,0.020234170741017982,0.4328358208955224,5.8274136678967275e-06,0.46408133347450503
B9H01_00050,B9H01_10460,61.8159,25642.0,5.973057876102305,0.004975902161435418,0.020234170741017982,0.4328358208955224,5.8274136678967275e-06,0.46408133347450503
B9H01_00055,B9H01_10460,61.8159,26007.0,5.973057876102305,0.004975902161435418,0.020234170741017982,0.4328358208955224,5.8274136678967275e-06,0.46408133347450503
B9H01_00060,B9H01_10460,61.8159,26133.0,5.973057876102305,0.004975902161435418,0.019071519852411203,0.4253731343283582,5.8274136678967275e-06,0.4666689347112363
B9H01_03765,B9H01_05255,61.8182,296888.0,5.973110699318206,0.004975008821729595,0.020516357013832018,0.09701492537313433,6.042896809957399e-06,0.564743032442634
B9H01_10290,B9H01_10390,61.8194,23418.0,5.973138258489173,0.004970542123200479,0.024072519671670012,0.4029850746268657,6.155322797119639e-06,0.4718851838395582
B9H01_10290,B9H01_10395,61.8194,23869.0,5.973138258489173,0.004970542123200479,0.024419129082812883,0.41044776119402987,6.155322797119639e-06,0.46954239504606604
B9H01_07160,B9H01_07180,61.8418,2317.0,5.973652599737836,0.004968755443788832,0.01137237668048785,0.052238805970149266,8.253941224143496e-06,0.5809199467812985
B9H01_08115,B9H01_08440,61.8649,52723.0,5.974182822165433,0.0049678621040830095,0.3588739934861813,0.664179104477612,1.0418141477011415e-05,0.2930882378674528
B9H01_08115,B9H01_08445,61.8649,53459.0,5.974182822165433,0.0049678621040830095,0.3588739934861813,0.664179104477612,1.0418141477011415e-05,0.2930882378674528
B9H01_05085,B9H01_05105,61.8729,2975.0,5.974366403560093,0.004966968764377186,0.06948874118750206,0.13432835820895522,1.116764805809186e-05,0.538859337240286
B9H01_05090,B9H01_05105,61.8729,2110.0,5.974366403560093,0.004966968764377186,0.06948874118750206,0.13432835820895522,1.116764805809186e-05,0.538859337240286
B9H01_06105,B9H01_06115,61.8755,674.0,5.974426062483894,0.004966968764377186,0.010007483952959986,0.05223880597014925,1.1411237696943091e-05,0.5813306775181459
B9H01_03605,B9H01_03615,61.8785,1840.0,5.97449489663825,0.004964288745259716,0.00599796899861398,0.02238805970149254,1.1692302664847824e-05,0.591488868311034
B9H01_00445,B9H01_00515,61.8835,6008.0,5.974609612931061,0.004958035367318953,0.011760616722276374,0.28358208955223885,1.2160744278022668e-05,0.5114020524153566
B9H01_00445,B9H01_00520,61.8835,6214.0,5.974609612931061,0.004958035367318953,0.011760616722276374,0.28358208955223885,1.2160744278022668e-05,0.5114020524153566
B9H01_00445,B9H01_00525,61.8835,6756.0,5.974609612931061,0.004958035367318953,0.011760616722276374,0.28358208955223885,1.2160744278022668e-05,0.5114020524153566
B9H01_00450,B9H01_00515,61.8835,5360.0,5.974609612931061,0.004958035367318953,0.011760368807151374,0.27611940298507465,1.2160744278022668e-05,0.5136409327600434
